,joint,src_x,src_y,src_z,dest_x,dest_y,dest_z,dest_orien,part
0,head,11.438613891601562,136.8265380859375,20.17128562927246,12.414414405822754,158.375244140625,13.776656150817871,h,Spine
1,left_ankle,17.92551612854004,32.03910827636719,-32.873939514160156,24.661020278930664,33.16860580444336,-27.346168518066406,h,LeftLeg
2,left_collar,13.64586353302002,124.19981384277344,13.12542724609375,9.647802352905273,148.70726013183594,7.541984558105469,h,LeftArm
3,left_elbow,20.68219566345215,98.60992431640625,16.49803924560547,22.64150619506836,113.37860107421875,20.540081024169922,h,LeftArm
4,left_foot,18.608619689941406,15.490889549255371,-26.37004852294922,24.79097557067871,16.263629913330078,-18.545900344848633,v,LeftLeg
5,left_hip,8.479694366455078,78.44368743896484,0.03524409234523773,9.125633239746094,96.9000015258789,1.3525713029594044e-06,h,LeftLeg
6,left_knee,16.758853912353516,47.19761276245117,-3.8358004093170166,20.852176666259766,57.21612548828125,7.264544486999512,h,LeftLeg
7,left_shoulder,20.60090446472168,120.5687255859375,14.503326416015625,22.699676513671875,143.09300231933594,9.571004867553711,h,LeftArm
8,left_wrist,2.10774564743042,96.75836944580078,29.95142936706543,4.583093166351318,116.55300903320312,32.44533920288086,v,LeftArm
9,neck,8.545120239257812,129.89193725585938,15.020535469055176,9.416399002075195,153.1774139404297,9.150486946105957,h,Spine
10,pelvis,2.947400048469717e-07,83.23920440673828,0.41429758071899414,0.0,0.0,0.0,v,Spine
11,right_ankle,-16.150943756103516,18.79546546936035,-6.4854912757873535,-14.505738258361816,25.672752380371094,-3.7278523445129395,h,RightLeg
12,right_collar,1.863635540008545,127.68447875976562,11.485824584960938,6.138979434967041,150.18875122070312,12.34344482421875,h,RightArm
13,right_elbow,-16.526958465576172,111.72157287597656,0.6747199296951294,-22.294973373413086,131.44195556640625,-8.234723091125488,h,RightArm
14,right_foot,-14.690167427062988,6.527124404907227,6.319384574890137,-11.854275703430176,14.371784210205078,11.420018196105957,v,RightLeg
15,right_hip,-8.479694366455078,78.44368743896484,0.03524412214756012,-9.12563705444336,96.89995574951172,-3.988918422237475e-07,h,RightLeg
16,right_knee,-12.945695877075195,47.48075866699219,9.046257972717285,-12.305624008178711,60.269439697265625,20.088342666625977,h,RightLeg
17,right_shoulder,-5.7602338790893555,128.83018493652344,9.480842590332031,-7.211918354034424,151.1336212158203,10.792280197143555,h,RightArm
18,right_wrist,-16.54489517211914,97.82843780517578,19.016273498535156,-24.640518188476562,115.45233917236328,10.697918891906738,v,RightArm
19,spine1,7.448495580320014e-07,90.96121978759766,1.580500841140747,-6.50187303108396e-07,111.77456665039062,1.257161329704104e-06,h,Spine
20,spine2,1.735487937927246,101.93496704101562,6.185447692871094,1.107344627380371,125.14279174804688,6.427814960479736,h,Spine
21,spine3,3.9451563358306885,112.29936218261719,10.686319351196289,4.869355201721191,139.04893493652344,10.131729125976562,h,Spine
